N,P,K,temperature,humidity,ph,rainfall,label
85,40,38,21.306342,78.26863,6.455509,222.414454,rice
86,54,41,22.799986,79.988709,7.205083,229.715542,rice
87,40,43,25.370329,81.174384,7.132736,184.241738,rice
77,54,40,21.810259,81.472255,6.728158,186.761566,rice
76,50,41,21.6844,85.487016,6.506188,245.497871,rice
88,46,40,23.32369,83.990788,7.046793,217.363877,rice
78,47,40,24.351016,80.268236,6.884588,160.187158,rice
69,42,38,23.018282,82.625875,6.148343,253.975633,rice
70,51,41,25.126337,81.267259,6.769409,239.626353,rice
72,43,40,24.37087,81.488145,6.917916,212.011505,rice
84,37,46,24.346912,82.333586,6.395137,195.128754,rice
81,37,45,23.886586,83.114508,6.88543,255.402621,rice
86,48,41,26.724245,81.389335,6.14533,241.781817,rice
76,60,38,22.671741,83.914933,7.401284,298.712864,rice
81,48,37,19.794364,79.944511,7.361577,243.765281,rice
86,46,44,25.566807,82.01141,6.686367,242.855688,rice
77,49,41,22.267681,86.675813,6.963554,227.326018,rice
84,57,41,23.172609,82.401544,5.715535,254.869724,rice
74,49,35,25.095281,84.579786,6.279644,249.502386,rice
77,44,43,20.436385,82.164736,6.667799,267.0483,rice
77,56,41,20.997364,83.045399,6.31754,217.402958,rice
69,50,37,20.437955,81.89779,7.121478,219.808591,rice
84,59,39,21.729382,81.693266,7.698783,218.585111,rice
76,48,41,23.703419,80.596932,6.270523,254.142448,rice
80,37,40,23.838701,82.774542,6.423141,273.954484,rice
84,36,39,23.442039,80.467233,6.905952,219.152466,rice
84,60,40,20.739575,83.198053,7.525002,220.106336,rice
86,61,39,19.303835,83.953517,6.249932,240.794162,rice
79,46,40,23.086966,82.659757,6.912066,225.118678,rice
76,44,44,22.245158,81.484752,7.619584,258.657502,rice
79,59,32,23.735017,82.817138,6.056708,168.950236,rice
65,38,39,24.123126,81.444389,6.223519,208.852259,rice
67,40,41,23.221186,83.683985,6.609377,210.092343,rice
68,52,41,24.216213,78.703469,6.565735,167.030032,rice
71,44,39,23.366738,81.395907,7.165671,205.018124,rice
84,47,35,23.848104,78.416538,6.908747,206.375629,rice
72,46,41,21.872523,79.308891,6.001267,226.36907,rice
119,43,42,22.351793,70.650497,5.638729,90.962669,maize
108,41,40,20.676783,68.070496,6.056903,52.480761,maize
102,53,39,21.463817,67.991735,6.510113,101.056868,maize
110,53,46,24.084776,67.598303,6.248802,103.569391,maize
118,60,38,22.507483,59.513312,5.974718,85.480153,maize
102,59,48,23.350525,68.503616,5.962894,45.347247,maize
103,49,39,24.175198,58.22093,5.943831,72.064465,maize
114,40,35,21.562896,61.027003,5.860245,112.192235,maize
108,47,40,24.39062,71.517825,7.440816,39.996103,maize
115,52,36,23.447107,69.201101,6.448756,83.744579,maize
110,48,37,19.412967,72.436991,6.74338,68.759986,maize
116,45,42,26.105762,63.641628,6.055461,104.482265,maize
102,52,42,21.248138,59.238756,6.207022,77.847949,maize
110,46,38,18.362262,63.797814,5.943223,97.271172,maize
108,45,44,19.887391,65.510156,4.974146,100.178288,maize
100,52,45,19.947387,65.394944,5.610995,123.052065,maize
97,47,46,22.630433,70.668402,5.394691,86.347045,maize
115,52,42,21.815374,63.193648,5.175108,96.768799,maize
107,52,45,21.65792,66.760172,5.702321,63.269001,maize
102,41,32,24.049255,60.056864,6.962478,111.427444,maize
109,46,39,23.349688,67.251586,6.277782,76.310841,maize
119,62,37,23.29012,65.015543,6.945282,79.906425,maize
92,41,40,23.524571,61.250933,6.505491,89.59954,maize
98,33,38,24.040337,63.820853,6.691279,61.868082,maize
103,35,39,17.230117,64.079121,5.849552,94.117861,maize
122,50,48,21.588904,63.649224,6.561975,107.414393,maize
112,50,39,17.049475,73.856706,6.664357,95.272809,maize
116,49,42,22.59015,64.50777,6.011676,61.399844,maize
101,60,39,22.488418,63.780519,6.57977,87.771433,maize
101,29,40,25.113831,54.512745,6.583094,103.35652,maize
114,53,40,25.469086,60.528963,6.025224,56.196202,maize
110,62,42,23.006938,63.684633,5.738616,70.654212,maize
114,41,45,21.249097,61.570737,5.707936,105.777785,maize
108,47,47,23.712903,71.908538,6.343253,94.861718,maize
112,44,41,21.180206,64.175311,6.463505,97.415488,maize
111,43,42,22.496518,71.442221,5.903737,123.470907,maize
116,47,35,24.965341,65.308523,6.313293,98.43395,maize
116,61,40,21.105572,65.186139,6.585269,101.841984,maize
97,65,44,24.514197,64.556018,6.609095,138.793419,maize
92,47,43,24.193503,65.018981,7.07594,86.151518,maize
118,65,41,20.11302,73.593975,6.93849,75.63811,maize
120,50,44,24.934735,53.401946,5.799354,97.700335,maize
102,64,42,24.246416,54.992271,7.141793,97.901839,maize
95,49,45,22.754815,62.284146,6.034512,80.519123,maize
111,51,41,20.594191,65.072639,6.822436,71.416854,maize
117,53,39,20.351985,68.450522,6.333993,131.5772,maize
124,75,41,21.155844,67.365436,6.093925,95.883182,maize
114,57,28,23.856486,63.07877,5.396152,76.818863,maize
107,44,42,20.110937,70.095218,6.214218,106.486745,maize
103,58,25,23.593781,70.150977,5.520308,88.035387,maize
110,47,33,19.395611,65.920289,6.78365,85.448134,maize
108,46,42,21.989829,69.813288,7.058396,100.120912,maize
102,57,42,22.774119,66.363226,5.901545,66.746119,maize
126,50,35,28.612825,62.192585,6.450985,96.34729,maize
124,52,37,19.056711,68.489084,5.937304,124.433187,maize
119,50,45,26.180036,65.553066,5.985758,98.391198,maize
103,53,38,22.874606,65.006699,6.687247,83.228182,maize
117,53,49,23.52793,72.364768,6.280731,80.872105,maize
115,35,40,22.79587,52.745639,7.169824,82.61388,maize
114,55,42,23.611817,57.911579,6.058884,85.428672,maize
120,42,46,22.115787,59.064648,6.799668,83.199482,maize
115,38,41,26.135125,63.183697,6.348707,106.493606,maize
116,50,36,21.358822,63.726959,6.697889,58.802236,maize
115,51,40,25.330586,57.463372,6.076421,105.516001,maize
113,44,40,20.889082,60.07421,6.275221,83.165643,maize
96,57,35,22.34937,60.695792,6.242251,96.78506,maize
111,39,39,19.820094,77.28712,5.881971,69.714218,maize
106,47,37,23.637559,74.00871,6.631041,113.915359,maize
100,45,44,26.112815,62.941253,6.625125,112.421429,maize
123,50,40,22.30661,63.182084,6.596777,107.272629,maize
124,52,39,22.007786,59.25398,7.068483,62.734414,maize
121,42,40,19.713458,55.459348,7.024672,104.924179,maize
112,56,41,21.926768,64.415599,6.112528,97.287392,maize
121,51,42,18.518014,60.01074,6.486526,61.105118,maize
110,35,36,20.217805,64.575747,5.9882,89.562647,maize
112,34,36,23.066965,56.998971,6.311678,96.561621,maize
101,50,44,25.797533,61.190128,6.000125,100.009355,maize
113,48,38,29.523027,65.743135,7.110035,93.190705,maize
110,49,34,21.033537,66.831048,6.481849,95.242166,maize
100,50,42,26.08825,67.08736,6.190985,116.525005,maize
110,52,42,23.109381,58.397555,6.896809,112.06861,maize
109,58,34,22.121881,69.273429,5.214692,38.393011,maize
124,41,41,23.581486,60.998942,5.292949,84.286106,maize
117,41,43,22.654791,68.16429,6.697919,87.036282,maize
110,41,41,22.775989,64.946807,6.330234,58.462226,maize
112,52,43,21.479167,58.118063,6.425223,91.695295,maize
110,60,34,19.004726,63.419011,5.636802,112.47764,maize
108,47,41,18.640937,66.826819,6.288383,70.441779,maize
101,30,39,24.133112,68.064827,7.301755,96.055217,maize
109,36,38,21.80825,64.295061,6.7121,73.515177,maize
104,43,43,21.009778,72.658894,6.384853,77.905584,maize
100,46,46,22.521264,70.037554,6.080473,116.593085,maize
114,47,47,24.487331,63.716729,6.102714,80.233959,maize
113,50,45,22.95091,68.750609,5.235401,98.319825,maize
96,48,40,20.859863,74.668967,6.42882,56.318074,maize
109,58,41,25.565732,74.802423,6.722742,123.521716,maize
118,45,43,26.447964,58.860001,5.51219,100.847744,maize
118,43,40,23.736392,60.367334,5.969292,86.715003,maize
118,54,41,24.934159,72.424594,5.721268,100.359837,maize
110,38,43,25.6049,59.708595,5.817324,64.62325,maize
77,42,40,23.372047,78.880881,6.6059,168.672686,jute
65,42,46,24.006599,80.327364,7.174957,165.677712,jute
66,58,46,24.641419,78.08672,7.011028,181.076138,jute
64,50,33,22.174629,77.771053,6.754491,178.525962,jute
63,45,38,24.736826,79.277062,7.016687,155.332918,jute
74,51,47,26.402907,73.237252,6.393681,190.717496,jute
70,30,43,24.046562,80.431105,6.81133,173.681276,jute
73,47,41,24.759808,78.998311,6.851563,159.446965,jute
68,63,39,25.524922,79.119081,6.635557,191.642978,jute
72,48,38,24.336046,81.882203,6.95241,183.759458,jute
65,48,41,23.91904,73.141553,6.526848,157.296412,jute
86,51,39,22.224264,73.078498,6.978437,199.88056,jute
55,54,40,25.140991,79.821412,6.993151,184.223163,jute
78,31,40,24.386832,78.978649,5.778994,174.857254,jute
79,34,37,23.487316,79.510531,7.216607,197.263063,jute
61,49,43,24.626597,77.613619,5.733329,177.230169,jute
86,41,55,23.91632,80.993061,6.584383,174.606837,jute
76,57,31,23.971574,81.797917,7.158872,165.755798,jute
76,44,42,25.106291,80.451947,6.68895,183.145906,jute
68,32,36,23.161618,78.217515,6.286835,181.672442,jute
66,37,43,25.547315,72.676932,6.417192,175.205522,jute
66,25,40,23.102314,81.307709,7.159417,163.940191,jute
71,45,44,23.837299,82.665186,6.127473,176.819018,jute
79,45,46,26.422946,80.933675,7.195147,174.022817,jute
69,44,41,25.627355,76.361073,6.780714,156.33136,jute
61,56,46,24.597604,81.021383,6.382662,154.394627,jute
75,57,28,23.55947,81.581589,6.59591,182.912147,jute
75,46,48,23.970728,83.676449,6.443971,138.573564,jute
73,30,42,24.573275,76.37167,7.103179,177.875747,jute
74,52,45,24.537523,78.320636,7.05635,168.306837,jute
66,51,34,24.409129,81.241816,6.198294,193.315452,jute
61,49,36,24.469167,79.17223,6.658743,168.091445,jute
61,55,41,24.285625,75.648017,6.497885,184.232779,jute
55,38,40,23.058021,80.243849,7.252728,169.443206,jute
70,63,41,23.983489,80.735985,6.327465,176.592474,jute
67,39,45,25.414624,79.263889,7.36148,185.315711,jute
64,53,31,23.131666,79.658755,6.788347,168.52422,jute
44,34,45,24.310444,78.223882,6.393323,188.951768,jute
58,40,40,23.680246,83.434837,6.562954,161.08823,jute
77,59,39,24.61135,76.297923,6.519433,179.1243,jute
63,45,33,24.111367,77.238038,6.353884,187.916956,jute
71,54,43,25.977394,79.032957,6.833189,184.240525,jute
57,49,28,25.006583,81.636862,6.37023,201.830228,jute
80,46,43,23.188197,74.50788,6.036872,164.31185,jute
67,58,33,25.171228,75.06911,6.667113,155.69191,jute
70,45,40,23.725348,72.886814,6.169,161.079308,jute
87,33,39,23.923004,79.098086,6.536744,184.246196,jute
80,41,46,24.813819,75.645083,6.481814,181.970921,jute
66,51,39,24.008253,77.84635,6.495074,176.431593,jute
63,50,37,25.392856,80.984135,7.500337,159.278601,jute
65,34,37,23.72549,77.075372,6.819744,185.736142,jute
72,41,46,23.881053,79.693846,6.88588,157.854133,jute
67,42,43,23.843629,78.101986,6.178261,191.225294,jute
65,44,38,23.934361,81.016343,6.571113,215.004138,jute
80,36,39,25.599192,80.425384,6.875356,180.130316,jute
67,42,32,25.128796,76.924199,6.441415,183.163514,jute
86,41,42,26.209944,78.494045,7.117822,168.099963,jute
69,53,31,26.767644,82.13123,6.379056,149.657014,jute
82,53,44,23.469283,80.180131,6.699772,166.561929,jute
71,46,41,24.570419,74.809114,6.594882,159.699467,jute
76,44,52,23.3238,80.966854,6.857512,154.741936,jute
62,48,34,23.722394,75.746168,6.575828,199.113039,jute
61,40,39,23.869917,83.237539,6.705187,178.820075,jute
72,38,49,23.442845,82.072297,6.717354,180.315626,jute
76,39,46,23.448113,79.869656,6.542964,170.673687,jute
68,42,37,24.355716,79.471699,6.969783,172.579805,jute
58,38,41,23.283282,78.372903,6.883436,188.50371,jute
57,48,40,25.342127,81.035572,6.768985,174.54728,jute
57,53,41,23.582246,77.887665,6.64934,182.429715,jute
54,34,37,27.309569,79.70671,7.07879,172.25594,jute
69,47,40,24.048616,81.615803,6.717458,170.20986,jute
77,45,32,24.572018,77.31458,6.692656,155.303202,jute
68,50,41,23.204659,77.151422,6.836642,147.311513,jute
50,47,42,26.206092,75.416904,7.393805,171.338133,jute
66,35,39,25.619501,75.806582,6.330875,175.790954,jute
67,37,32,24.796916,73.514814,7.06945,156.994179,jute
85,47,45,23.153197,81.189486,6.13739,174.517352,jute
56,55,42,24.710667,84.426744,6.876046,175.752536,jute
65,29,36,23.378569,83.275987,7.351279,144.815888,jute
82,50,39,25.962355,74.121747,6.971034,162.188255,jute
72,57,32,25.309195,81.174564,6.859719,180.701695,jute
73,46,35,24.595439,83.266319,6.603843,180.418822,jute
69,51,37,22.063624,77.62957,6.810867,158.848551,jute
71,41,46,23.516584,79.304342,6.711778,177.218273,jute
74,46,37,25.187761,72.976321,6.524908,189.313701,jute
62,34,43,25.712884,79.800209,6.698544,185.879021,jute
75,28,37,25.60917,75.809321,6.869433,173.665999,jute
57,55,41,22.907987,79.598905,6.531474,168.448332,jute
71,39,39,24.801552,74.316391,6.517801,166.189177,jute
69,43,44,25.515515,80.628575,6.323915,181.549477,jute
63,36,37,22.841664,82.073538,6.936754,177.731456,jute
68,36,32,24.492095,76.65046,6.990863,183.811656,jute
63,46,33,24.773842,75.589232,6.881081,176.846233,jute
59,41,37,24.199235,72.531931,7.13781,186.462695,jute
65,50,34,22.647838,78.200759,6.830754,176.324295,jute
59,51,42,24.174302,77.255218,6.937204,185.985642,jute
71,50,38,24.172695,74.346942,6.906343,187.191519,jute
59,49,52,24.351928,80.359056,6.767961,163.736627,jute
74,60,31,23.936529,77.650089,6.614212,149.685983,jute
59,38,41,24.056988,75.772792,7.574953,196.6089,jute
122,43,41,24.330896,77.765384,6.682487,112.000945,cotton
106,46,39,26.470286,76.244568,7.464527,84.43138,cotton
114,48,29,25.42176,80.043342,6.864866,111.695278,cotton
126,52,41,23.953664,77.422267,6.981883,116.605995,cotton
118,56,45,23.70109,81.088626,7.371582,102.952104,cotton
116,45,41,22.528756,79.597118,6.541003,97.533017,cotton
131,43,53,25.4361,82.608502,6.502861,105.604339,cotton
112,51,43,24.468119,76.79398,6.821401,59.938743,cotton
114,52,49,21.441707,79.526297,7.230869,104.231615,cotton
122,44,44,24.196428,73.464365,6.367649,98.413044,cotton
123,53,47,23.648449,71.992696,6.232786,99.291206,cotton
124,55,44,27.363516,83.533838,7.229488,109.891455,cotton
127,57,50,22.445832,76.081023,6.658809,98.953235,cotton
122,61,43,22.837974,79.024403,6.74311,84.037104,cotton
124,40,45,26.664954,75.6187,6.157276,98.020363,cotton
118,47,45,27.035145,72.067422,6.628408,100.945777,cotton
121,47,42,23.882526,75.054914,6.896973,101.609075,cotton
121,46,45,24.051871,82.17997,7.272151,102.266871,cotton
122,42,54,25.924353,77.7762,6.591508,114.551167,cotton
126,35,42,21.50935,66.442634,7.56295,84.795516,cotton
124,48,45,22.208209,73.923778,6.626178,102.459806,cotton
120,41,49,24.5789,83.911469,6.626763,118.059016,cotton
114,48,49,27.324836,73.931016,7.514943,75.715439,cotton
121,41,43,24.346405,65.997607,6.984584,102.515054,cotton
120,38,31,25.151405,84.465244,6.67919,91.804701,cotton
122,49,46,26.700684,78.411963,6.837947,94.810055,cotton
138,48,32,28.160327,74.649936,7.441229,87.332695,cotton
116,52,50,24.134727,73.142911,7.486481,97.62629,cotton
123,64,44,24.974745,80.41176,6.573283,125.777579,cotton
129,49,48,27.733083,72.290083,6.883026,82.297975,cotton
121,51,38,22.716701,80.741282,6.936063,83.62546,cotton
139,38,35,26.541372,77.710976,6.505504,81.772916,cotton
117,37,44,23.472527,76.22341,6.877726,124.183856,cotton
123,60,43,25.153709,75.727574,6.902129,93.527244,cotton
114,40,41,24.636071,74.12516,7.356084,99.641053,cotton
117,39,43,23.562983,80.228201,7.38297,94.361039,cotton
122,47,57,23.525347,70.673286,6.768316,86.77808,cotton
127,46,47,25.414622,66.890374,6.814419,96.707891,cotton
123,40,48,26.493309,78.072201,7.165717,134.41541,cotton
130,45,47,24.805396,78.156192,6.665925,119.488993,cotton
119,57,50,25.10517,77.401206,7.135456,88.058871,cotton
117,41,42,25.856761,77.038642,6.864837,109.066037,cotton
140,36,33,23.542572,73.397298,6.512241,88.358681,cotton
123,55,42,26.109539,78.937414,6.517265,75.130853,cotton
114,51,47,26.229015,74.772209,7.478823,114.273153,cotton
114,42,38,28.905439,72.564432,6.837431,116.2413,cotton
112,34,42,24.435844,73.440543,7.556142,114.644732,cotton
127,41,40,24.312877,85.103198,6.694545,93.421887,cotton
117,47,51,26.153449,66.32512,7.016482,97.66514,cotton
121,56,47,26.228656,77.498941,7.857071,110.496718,cotton
119,39,46,24.197369,66.604448,6.477045,105.480945,cotton
126,46,46,24.395256,74.458833,6.140874,94.489075,cotton
113,52,43,25.811696,72.831863,7.414636,77.332995,cotton
111,28,44,23.758624,64.574859,6.569276,101.594253,cotton
122,55,37,24.384199,76.945188,6.891717,115.106135,cotton
125,38,32,25.134389,73.09981,6.665633,83.233764,cotton
123,50,44,26.493908,64.503968,7.007265,108.942631,cotton
114,49,45,24.093102,79.19784,6.519786,104.641584,cotton
125,56,49,22.236423,82.175031,6.828024,110.502076,cotton
114,51,51,22.125104,82.450622,7.079926,112.207657,cotton
116,28,51,23.11088,76.794782,6.496676,90.277487,cotton
112,41,38,23.030248,75.230291,6.619966,77.362568,cotton
130,48,41,24.768084,81.640783,6.761047,92.530727,cotton
125,45,45,23.21668,83.411918,6.328474,112.447782,cotton
125,51,56,23.945868,80.667844,6.730976,92.411945,cotton
130,53,50,23.838871,70.292312,6.947519,90.283393,cotton
140,52,49,24.339238,76.006724,6.74018,74.501095,cotton
106,45,41,26.983756,77.197581,6.791449,124.537066,cotton
114,32,39,25.992921,65.951915,6.892039,111.559991,cotton
115,43,47,25.024194,77.346803,6.637703,110.778544,cotton
113,50,37,24.308461,86.364959,7.176425,113.548155,cotton
111,38,42,24.350151,78.199681,7.474391,108.073917,cotton
118,52,42,25.49162,82.367065,6.714248,96.579396,cotton
110,54,51,25.876254,75.914574,7.094079,97.707303,cotton
123,48,41,23.638574,74.633908,6.804153,94.014099,cotton
120,22,31,25.054721,76.906357,7.046195,136.886371,cotton
124,37,46,21.952571,70.920867,7.526312,107.782768,cotton
124,62,40,25.317571,70.181124,7.103464,93.506794,cotton
125,43,43,26.143224,81.331523,6.190634,106.516955,cotton
117,31,43,24.579897,81.861712,7.081598,85.847835,cotton
137,57,42,27.72479,70.044468,7.393145,121.063094,cotton
122,47,47,23.678142,79.839994,6.811362,90.745033,cotton
105,56,35,25.326161,74.5652,7.298254,107.015196,cotton
112,49,40,24.946263,76.699043,6.623954,114.923687,cotton
106,51,46,24.849553,77.301093,6.305784,105.38676,cotton
120,50,40,24.828517,79.971752,6.956468,101.32258,cotton
119,53,35,25.160658,75.413591,6.197409,100.151229,cotton
116,65,46,26.271938,82.05081,6.804092,99.209825,cotton
136,55,49,27.066604,76.547064,7.414737,91.926221,cotton
124,34,43,24.996625,78.120921,6.136095,93.707232,cotton
126,51,33,26.222974,70.833687,6.388201,120.714265,cotton
113,56,47,23.94735,85.793295,6.487187,98.480487,cotton
112,57,35,26.148933,77.349125,6.874672,88.998852,cotton
120,44,45,23.857013,78.564987,6.753713,92.771834,cotton
121,56,39,26.63599,66.959071,7.459655,115.40519,cotton
105,54,37,28.315961,70.88649,7.281739,109.458493,cotton
119,68,41,24.816874,81.189418,7.098109,107.844608,cotton
120,41,42,21.711185,76.434456,6.958252,96.394703,cotton
118,43,40,24.177891,65.431101,7.057292,108.027075,cotton
113,45,46,26.847813,80.19145,6.555207,90.990144,cotton
38,63,88,16.467967,15.565826,7.475127,71.191855,chickpea
48,56,84,17.455523,19.90874,8.2309,74.599503,chickpea
47,75,93,20.062362,16.234495,7.66971,62.295623,chickpea
32,63,68,20.605289,19.761238,7.687995,76.414839,chickpea
33,64,77,18.358569,18.072413,8.744256,55.874465,chickpea
41,67,76,18.589317,16.142888,7.457979,58.018978,chickpea
54,76,65,20.016706,18.199226,7.442322,73.677295,chickpea
25,67,86,18.763597,17.801124,7.552008,81.36897,chickpea
42,57,77,15.91299,19.552207,6.695517,71.947456,chickpea
29,71,84,16.874052,15.629136,6.978049,67.677261,chickpea
35,63,96,18.97024,17.103015,6.946915,50.43853,chickpea
37,82,77,20.930965,16.846211,7.523807,51.820424,chickpea
37,67,76,21.731965,18.76037,7.112913,69.035276,chickpea
36,49,80,20.059059,14.437052,7.269112,65.135499,chickpea
40,70,86,19.074582,19.542443,7.743727,59.153319,chickpea
36,83,75,19.997628,18.165822,7.631575,68.524261,chickpea
28,80,75,17.166498,14.0,7.119139,68.921051,chickpea
46,82,86,18.193538,20.020657,6.865002,75.555327,chickpea
46,59,82,16.851739,22.585233,7.767637,69.092818,chickpea
47,74,65,16.002515,19.504585,7.586946,77.827155,chickpea
28,61,70,19.167098,20.567462,6.396872,68.063952,chickpea
42,69,90,18.871027,17.213428,7.043423,67.07732,chickpea
45,57,82,19.875305,14.0,7.282758,76.514497,chickpea
32,62,74,19.592224,14.0,7.589415,60.172473,chickpea
40,62,78,18.985289,17.637705,7.655051,90.51558,chickpea
39,74,79,19.613233,15.520053,7.341953,71.00206,chickpea
55,73,84,18.414634,14.713559,7.492624,71.046634,chickpea
55,69,69,19.325783,16.843133,7.232068,72.200768,chickpea
27,56,73,17.047711,18.538963,6.863074,83.017092,chickpea
60,65,81,19.239412,14.0,7.069368,74.340059,chickpea
33,61,78,19.836835,15.877806,7.209496,55.159552,chickpea
48,74,83,17.160637,20.774677,7.18266,79.227763,chickpea
48,76,70,18.603664,14.311779,6.257214,65.272827,chickpea
32,75,81,17.252795,19.174403,7.001258,68.857241,chickpea
44,61,87,17.446987,15.788173,7.228103,57.765968,chickpea
39,45,82,16.250141,18.364484,7.059315,72.209616,chickpea
44,53,80,21.03155,19.743319,7.076588,62.789006,chickpea
42,78,78,20.63137,18.853204,7.443996,68.801357,chickpea
50,64,73,19.574868,19.272899,6.660521,65.727208,chickpea
41,61,78,22.444392,14.121016,6.385979,83.400102,chickpea
39,80,88,18.121509,19.784149,7.025915,83.858082,chickpea
49,77,78,24.563525,14.868267,7.582057,68.372105,chickpea
45,67,73,18.044941,17.648854,8.043777,68.511822,chickpea
46,65,76,19.010387,17.645615,7.591064,65.012456,chickpea
35,66,80,17.704444,18.212806,6.465868,76.84805,chickpea
32,69,76,19.244651,17.842392,7.083816,65.368641,chickpea
35,80,82,20.17123,14.890475,7.328317,64.629302,chickpea
35,70,83,18.272167,14.0,7.288796,75.828743,chickpea
46,73,85,22.05344,19.180872,7.469652,63.693607,chickpea
48,76,89,18.978299,17.464586,6.741476,67.69796,chickpea
39,58,86,19.040971,19.873442,7.232472,55.349514,chickpea
51,73,72,16.682005,16.888168,7.410161,73.633523,chickpea
51,65,73,19.336998,14.0,7.612835,83.526936,chickpea
42,47,78,18.231946,19.415324,6.797141,73.769803,chickpea
33,50,76,17.283521,16.074073,7.027422,79.694393,chickpea
53,59,71,16.947051,17.855009,5.848091,61.231183,chickpea
40,71,76,23.843527,15.381351,6.889269,69.890594,chickpea
41,68,76,17.973045,21.110754,6.937793,60.454721,chickpea
37,68,74,15.586029,14.808588,6.690208,66.177876,chickpea
33,83,77,17.103557,16.156426,7.282806,74.177692,chickpea
28,57,87,18.396864,17.268622,7.172027,68.814565,chickpea
45,67,80,19.593334,14.269544,6.070393,56.698872,chickpea
34,69,96,19.609593,17.826299,7.307754,57.479767,chickpea
64,61,80,19.853229,21.029776,6.735838,56.950689,chickpea
31,67,77,17.210279,15.773845,7.442844,71.931621,chickpea
30,54,79,19.180881,17.987857,6.559074,84.511156,chickpea
44,78,81,16.747881,14.0,7.215003,78.899666,chickpea
52,62,82,17.260714,16.902677,7.058418,52.832118,chickpea
41,83,94,16.664582,16.217394,7.351551,79.368608,chickpea
45,67,73,16.123222,14.953756,7.262349,75.491203,chickpea
25,75,85,20.628419,19.703626,7.072418,55.6376,chickpea
35,67,80,19.877223,16.184391,6.431864,65.574387,chickpea
